#BOX    MON   DAY        PJ         MLK        GT         BT         
0       4     3          2807       3430       1616       138        
1       9     25         960        2220       3484       2605       
2       1     13         2785       812        716        839        
3       9     29         2574       3686       2555       2041       
4       1     7          2045       616        3847       327        
5       12    13         1053       2149       1000       566        
6       3     27         2976       1556       2439       3844       
7       9     25         2100       3152       3750       3175       
8       9     16         1462       405        297        3118       
9       5     2          3883       3917       2508       141        
10      9     12         1302       4016       1773       2677       
11      5     18         2100       3429       2305       3705       
12      8     31         62         3971       1337       638        
13      9     23         3835       3298       3120       266        
14      2     28         270        2113       510        207        
15      4     1          653        3934       176        1208       
16      1     14         2440       141        3225       2190       
17      8     13         567        2745       2777       552        
18      7     11         4012       1518       525        3645       
19      3     14         3696       339        3829       98         
20      8     7          1092       654        2404       3019       
21      10    15         3600       3085       526        1192       
22      6     17         3258       269        3542       942        
23      9     5          11         1655       3105       3038       
24      12    18         2505       2400       3204       2394       
25      2     15         3557       849        1070       2673       
26      5     3          3425       2339       2398       1535       
27      9     24         1455       1877       287        3571       
28      6     29         61         1449       539        3897       
29      7     13         1154       1637       3131       389        
30      11    7          325        2928       1098       2358       
31      9     8          2178       297        2398       1994       
32      11    26         2583       3448       2415       232        
33      8     1          3524       3333       2000       1681       
34      8     27         4078       3014       432        3673       
35      7     19         3955       3671       1204       3538       
36      4     4          3304       3536       2914       2772       
37      12    31         3184       2000       4007       917        
38      6     8          3457       2154       1044       321        
39      1     29         1706       4053       52         612        
40      2     2          3611       1286       2588       3888       
41      7     13         3967       1752       1766       3794       
42      4     16         1520       1102       3782       1072       
43      12    12         3043       4014       795        3825       
44      7     9          1329       1534       3859       2932       
45      11    8          471        3571       838        309        
46      3     2          3243       3189       2613       3219       
47      1     23         1021       877        1445       2699       
48      9     25         4036       403        203        387        
49      8     25         204        2782       1145       2323       
50      6     19         1011       1236       1396       2346       
51      12    1          1511       872        169        1505       
52      10    19         4037       3399       2494       448        
53      2     21         4023       1059       1513       1639       
54      5     27         1938       2821       1334       3031       
55      3     5          3588       890        1027       693        
56      5     31         891        3884       1852       3975       
57      11    2          3704       2205       2495       1033       
58      8     7          1789       614        3731       1933       
59      3     22         672        106        535        3527       
60      1     3          503        1637       1545       1863       
61      11    10         3129       2541       1208       309        
62      3     31         3096       1629       1438       2978       
63      12    21         1031       2972       1925       43         
64      3     16         42         672        3786       3343       
